Generated by GetData Graph Digitizer 2.26.0.20 on June 05 2015, 17:25
from file 'C:\Users\Dmitry\Google Диск\!Diplom\Emmiter_Temperature.jpg'

Line #1
 2.01508356635077e+002    1.35634925503684e+003
 2.01665684904142e+002    1.36018472527030e+003
 2.01823013173208e+002    1.36402019550377e+003
 2.02191979978641e+002    1.36785526995391e+003
 2.02349308247707e+002    1.37169074018738e+003
 2.03014408931686e+002    1.37882077677755e+003
 2.03301395817846e+002    1.37995476196601e+003
 2.03595014273486e+002    1.38265545544436e+003
 2.03682025038572e+002    1.38654508202939e+003
 2.04051220518815e+002    1.39043418090332e+003
 2.04349641145458e+002    1.39426938728124e+003
 2.04648290446912e+002    1.39815861808294e+003
 2.05088032105943e+002    1.40204758502910e+003
 2.04953342643037e+002    1.40356053275074e+003
 2.06167720219888e+002    1.40712390194864e+003
 2.06184870830615e+002    1.41117573373281e+003
 2.06342885124110e+002    1.41517327723764e+003
 2.06923719140719e+002    1.41906198032825e+003
 2.07645416840097e+002    1.42289639513952e+003
 2.08296568360685e+002    1.42673094187856e+003
 2.08947719881274e+002    1.43056548861760e+003
 2.09528325223073e+002    1.43440016728442e+003
 2.10320569101240e+002    1.43823445016791e+003
 2.11465315198541e+002    1.44201404898874e+003
 2.12821471157400e+002    1.44573922760246e+003
 2.14248173295048e+002    1.44946427428840e+003
 2.15745650286294e+002    1.45324321347035e+003
 2.17595400821866e+002    1.45691344416586e+003
 2.20079152267300e+002    1.46036638981623e+003
 2.23337539630554e+002    1.46349373771835e+003
 2.27438136317891e+002    1.46559303843518e+003
 2.32517232515887e+002    1.46552951521160e+003

Line #5
 2.43784040389249e+002    1.36064620862663e+003
 2.44153235869491e+002    1.36453530750056e+003
 2.44451656496135e+002    1.36837051387847e+003
 2.44609213440010e+002    1.37226000853573e+003
 2.44907634066654e+002    1.37609521491364e+003
 2.45347375725685e+002    1.37998418185980e+003
 2.45716342531118e+002    1.38381925630994e+003
 2.45873899474993e+002    1.38770875096720e+003
 2.45890364061291e+002    1.39159850948000e+003
 2.46541515581880e+002    1.39543305621904e+003
 2.46769618704544e+002    1.39932241894852e+003
 2.47068725355617e+002    1.40331969859781e+003
 2.47508924364268e+002    1.40731671439154e+003
 2.47665337934095e+002    1.41093608692985e+003
 2.48034533414337e+002    1.41482518580378e+003
 2.48825862593265e+002    1.41844337099212e+003
 2.48842555854372e+002    1.42238715392871e+003
 2.49000570147867e+002    1.42638469743354e+003
 2.49581404164476e+002    1.43027340052415e+003
 2.50162238181085e+002    1.43416210361476e+003
 2.50742843522885e+002    1.43799678228157e+003
 2.51394223718283e+002    1.44188535344440e+003
 2.52045375238872e+002    1.44571990018345e+003
 2.52767301613059e+002    1.44960833941850e+003
 2.53771184027592e+002    1.45344222651867e+003
 2.54845383946105e+002    1.45722195726727e+003
 2.55707945328251e+002    1.46100208379920e+003
 2.56570735385206e+002    1.46483623475492e+003
